n,CountingSort,sd_CS,QuickSort,sd_QS,InsertionSort,sd_IS,QuickSort3Ways,sd_QS3W
20092,0.000579625,6.00349e-06,0.00240015,4.5466e-05,0.179206,0.00113448,0.00301875,2.03413e-05
21544,0.000596084,1.98951e-06,0.00257881,3.64502e-05,0.205156,0.00106795,0.0032554,4.62981e-05
23101,0.000611,1.73844e-06,0.00279829,5.10106e-05,0.236556,0.000960546,0.0035039,3.82116e-05
24770,0.000626271,6.47088e-06,0.00300892,5.52449e-05,0.272234,0.00132029,0.00378956,4.61029e-05
26560,0.000641938,1.48249e-06,0.00323335,7.90854e-05,0.312997,0.000822914,0.0040886,9.90774e-05
28480,0.000661771,1.83667e-06,0.00353044,3.60237e-05,0.359887,0.00116652,0.00442402,6.46254e-05
30538,0.000682166,2.15703e-06,0.0037929,4.44916e-05,0.41317,0.00239235,0.0047684,8.17807e-05
32745,0.000702313,3.16057e-06,0.0040586,5.64263e-05,0.474358,0.00144355,0.00514473,8.5001e-05
35111,0.000725542,4.67695e-06,0.00442035,5.71853e-05,0.544654,0.00204833,0.00553117,6.57029e-05
37649,0.000751604,8.39419e-06,0.00479323,5.37142e-05,0.627851,0.00216352,0.00594444,6.29164e-05
40370,0.000777042,3.94304e-06,0.00512235,8.38928e-05,0.724083,0.0023922,0.00636967,6.4373e-05
43287,0.000806396,2.67594e-06,0.00548227,6.67068e-05,0.833653,0.00396447,0.00697252,0.000119945
46415,0.000838875,7.70733e-06,0.00594133,0.000112064,0.959132,0.00225476,0.00747279,0.000142456
49770,0.00087175,3.53434e-06,0.00640144,0.00012357,1.10402,0.0427424,0.00803421,8.02399e-05
53366,0.000905396,1.0274e-05,0.00689371,0.0001035,1.27136,0.00423272,0.00865167,7.10915e-05
57223,0.000944146,1.05481e-05,0.00742508,0.000106128,1.46283,0.00302674,0.0094531,0.000104742
61358,0.000995521,1.3839e-05,0.00802317,0.000128749,1.68507,0.00497935,0.00998865,0.000117293
65793,0.00102802,1.29331e-05,0.00875004,9.3157e-05,1.93857,0.00453644,0.0107414,0.000118875
70547,0.00107567,1.11678e-05,0.00938727,0.000154351,2.23182,0.00635713,0.0116619,0.000128015
75646,0.00112335,1.45182e-05,0.0100594,0.00012397,2.57012,0.00344616,0.0124831,0.000185222
81112,0.00117948,8.83521e-06,0.0109107,8.45205e-05,2.95811,0.00671664,0.013433,9.06767e-05
86974,0.00123606,1.70205e-05,0.0118514,0.000212462,3.40711,0.00871714,0.0146638,0.000287682
93259,0.00129908,1.42017e-05,0.0126795,0.000170652,3.93216,0.00750745,0.015596,0.000157348
99999,0.00136356,1.7598e-05,0.0138013,0.000197076,4.51117,0.00823055,0.0167892,0.000184223
